time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Bess_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Bess_GEN_InjectedActiveCurrent;Bess_GEN_InjectedReactiveCurrent;Bess_GEN_AVRSetpointPu;Bess_GEN_NetworkFrequencyPu;Bess_GEN_InjectedCurrent;NetworkFrequencyPu
0.627852000;1.057e+00;4.873e-01;-7.780e-03;4.608e-01;-7.357e-03;1.060e+00;1.000e+01;4.767e-01;-5.857e-03;1.051e+00;1.000e+00;4.768e-01;1.000e+00
0.637852000;1.058e+00;4.850e-01;-7.875e-03;4.586e-01;-7.447e-03;1.060e+00;1.000e+01;4.745e-01;-5.719e-03;1.051e+00;1.000e+00;4.746e-01;1.000e+00
0.647852000;1.058e+00;4.828e-01;-7.966e-03;4.565e-01;-7.532e-03;1.060e+00;1.000e+01;4.724e-01;-5.586e-03;1.051e+00;1.000e+00;4.725e-01;1.000e+00
0.657852000;1.058e+00;4.807e-01;-8.055e-03;4.545e-01;-7.616e-03;1.060e+00;1.000e+01;4.704e-01;-5.458e-03;1.051e+00;1.000e+00;4.704e-01;1.000e+00
0.667852000;1.058e+00;4.786e-01;-8.142e-03;4.525e-01;-7.697e-03;1.060e+00;1.000e+01;4.684e-01;-5.335e-03;1.051e+00;1.000e+00;4.685e-01;1.000e+00
0.677852000;1.058e+00;4.767e-01;-8.224e-03;4.506e-01;-7.775e-03;1.060e+00;1.000e+01;4.666e-01;-5.216e-03;1.051e+00;1.000e+00;4.666e-01;1.000e+00
0.687852000;1.058e+00;4.748e-01;-8.305e-03;4.488e-01;-7.851e-03;1.060e+00;1.000e+01;4.648e-01;-5.101e-03;1.051e+00;1.000e+00;4.648e-01;1.000e+00
0.697852000;1.058e+00;4.730e-01;-8.384e-03;4.471e-01;-7.925e-03;1.060e+00;1.000e+01;4.631e-01;-4.990e-03;1.051e+00;1.000e+00;4.631e-01;1.000e+00
0.707852000;1.058e+00;4.713e-01;-8.459e-03;4.455e-01;-7.996e-03;1.060e+00;1.000e+01;4.614e-01;-4.884e-03;1.051e+00;1.000e+00;4.614e-01;1.000e+00
0.717852000;1.058e+00;4.696e-01;-8.533e-03;4.439e-01;-8.065e-03;1.060e+00;1.000e+01;4.598e-01;-4.781e-03;1.051e+00;1.000e+00;4.598e-01;1.000e+00
0.727852000;1.058e+00;4.681e-01;-8.604e-03;4.424e-01;-8.132e-03;1.060e+00;1.000e+01;4.583e-01;-4.682e-03;1.051e+00;1.000e+00;4.583e-01;1.000e+00
0.737852000;1.058e+00;4.665e-01;-8.671e-03;4.409e-01;-8.195e-03;1.060e+00;1.000e+01;4.569e-01;-4.587e-03;1.051e+00;1.000e+00;4.569e-01;1.000e+00
0.747852000;1.058e+00;4.651e-01;-8.739e-03;4.395e-01;-8.259e-03;1.060e+00;1.000e+01;4.555e-01;-4.495e-03;1.051e+00;1.000e+00;4.555e-01;1.000e+00
0.757852000;1.058e+00;4.637e-01;-8.804e-03;4.382e-01;-8.320e-03;1.060e+00;1.000e+01;4.541e-01;-4.406e-03;1.051e+00;1.000e+00;4.542e-01;1.000e+00
0.767852000;1.058e+00;4.624e-01;-8.865e-03;4.369e-01;-8.377e-03;1.060e+00;1.000e+01;4.529e-01;-4.321e-03;1.051e+00;1.000e+00;4.529e-01;1.000e+00
0.777852000;1.058e+00;4.611e-01;-8.927e-03;4.357e-01;-8.436e-03;1.060e+00;1.000e+01;4.517e-01;-4.238e-03;1.051e+00;1.000e+00;4.517e-01;1.000e+00
0.787852000;1.058e+00;4.599e-01;-8.987e-03;4.346e-01;-8.492e-03;1.060e+00;1.000e+01;4.505e-01;-4.159e-03;1.051e+00;1.000e+00;4.505e-01;1.000e+00
0.797852000;1.058e+00;4.588e-01;-9.044e-03;4.335e-01;-8.546e-03;1.060e+00;1.000e+01;4.494e-01;-4.082e-03;1.051e+00;1.000e+00;4.495e-01;1.000e+00
