time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;InfiniteBus_BUS_NetworkFrequencyPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_InjectedCurrent;NetworkFrequencyPu
0.003066000;1.065e+00;4.030e-01;1.538e-01;3.783e-01;1.444e-01;1.069e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.774e-01;1.469e-01;4.049e-01;1.000e+00
0.003070000;1.065e+00;4.030e-01;1.540e-01;3.783e-01;1.446e-01;1.069e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.774e-01;1.471e-01;4.050e-01;1.000e+00
0.003078000;1.065e+00;4.030e-01;1.544e-01;3.783e-01;1.450e-01;1.069e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.774e-01;1.475e-01;4.052e-01;1.000e+00
0.003094000;1.065e+00;4.031e-01;1.552e-01;3.783e-01;1.457e-01;1.069e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.774e-01;1.482e-01;4.054e-01;1.000e+00
0.003126000;1.066e+00;4.032e-01;1.568e-01;3.784e-01;1.472e-01;1.069e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.774e-01;1.497e-01;4.060e-01;1.000e+00
0.003190000;1.066e+00;4.034e-01;1.600e-01;3.784e-01;1.501e-01;1.070e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.774e-01;1.527e-01;4.071e-01;1.000e+00
0.003318000;1.067e+00;4.037e-01;1.661e-01;3.785e-01;1.557e-01;1.071e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.775e-01;1.583e-01;4.093e-01;1.000e+00
0.003446000;1.067e+00;4.041e-01;1.719e-01;3.786e-01;1.611e-01;1.071e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.775e-01;1.637e-01;4.115e-01;1.000e+00
0.003574000;1.068e+00;4.044e-01;1.775e-01;3.787e-01;1.662e-01;1.072e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.776e-01;1.688e-01;4.136e-01;1.000e+00
0.003702000;1.068e+00;4.048e-01;1.828e-01;3.788e-01;1.710e-01;1.073e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.776e-01;1.737e-01;4.157e-01;1.000e+00
0.003830000;1.069e+00;4.051e-01;1.878e-01;3.789e-01;1.757e-01;1.073e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.777e-01;1.783e-01;4.177e-01;1.000e+00
0.004086000;1.070e+00;4.057e-01;1.971e-01;3.791e-01;1.842e-01;1.075e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.778e-01;1.869e-01;4.215e-01;1.000e+00
0.004316000;1.071e+00;4.062e-01;2.048e-01;3.793e-01;1.913e-01;1.076e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.779e-01;1.940e-01;4.248e-01;1.000e+00
0.004546000;1.072e+00;4.066e-01;2.118e-01;3.794e-01;1.977e-01;1.077e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.780e-01;2.005e-01;4.279e-01;1.000e+00
0.004777000;1.072e+00;4.071e-01;2.183e-01;3.796e-01;2.036e-01;1.077e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.781e-01;2.064e-01;4.307e-01;1.000e+00
0.005007000;1.073e+00;4.075e-01;2.242e-01;3.798e-01;2.089e-01;1.078e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.782e-01;2.118e-01;4.334e-01;1.000e+00
0.005238000;1.074e+00;4.079e-01;2.296e-01;3.799e-01;2.138e-01;1.079e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.783e-01;2.167e-01;4.360e-01;1.000e+00
0.005468000;1.074e+00;4.082e-01;2.345e-01;3.801e-01;2.183e-01;1.080e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.784e-01;2.212e-01;4.383e-01;1.000e+00
0.005698000;1.075e+00;4.086e-01;2.390e-01;3.802e-01;2.224e-01;1.080e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.785e-01;2.253e-01;4.405e-01;1.000e+00
0.006159000;1.076e+00;4.092e-01;2.469e-01;3.805e-01;2.296e-01;1.081e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.787e-01;2.326e-01;4.444e-01;1.000e+00
0.006620000;1.076e+00;4.098e-01;2.536e-01;3.807e-01;2.356e-01;1.082e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.789e-01;2.386e-01;4.478e-01;1.000e+00
0.007081000;1.077e+00;4.102e-01;2.592e-01;3.810e-01;2.407e-01;1.083e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.791e-01;2.437e-01;4.506e-01;1.000e+00
0.007542000;1.077e+00;4.107e-01;2.638e-01;3.812e-01;2.449e-01;1.083e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.792e-01;2.479e-01;4.531e-01;1.000e+00
0.008002000;1.078e+00;4.111e-01;2.677e-01;3.814e-01;2.484e-01;1.084e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.794e-01;2.514e-01;4.552e-01;1.000e+00
0.008924000;1.078e+00;4.118e-01;2.737e-01;3.818e-01;2.538e-01;1.085e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.798e-01;2.569e-01;4.585e-01;1.000e+00
0.009753000;1.079e+00;4.123e-01;2.776e-01;3.821e-01;2.573e-01;1.085e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.801e-01;2.604e-01;4.607e-01;1.000e+00
0.010583000;1.079e+00;4.127e-01;2.803e-01;3.824e-01;2.598e-01;1.086e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.803e-01;2.629e-01;4.623e-01;1.000e+00
0.011412000;1.079e+00;4.131e-01;2.823e-01;3.827e-01;2.616e-01;1.086e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.806e-01;2.647e-01;4.636e-01;1.000e+00
0.012242000;1.080e+00;4.134e-01;2.837e-01;3.830e-01;2.628e-01;1.086e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.808e-01;2.659e-01;4.645e-01;1.000e+00
0.013071000;1.080e+00;4.137e-01;2.847e-01;3.832e-01;2.637e-01;1.086e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.810e-01;2.668e-01;4.652e-01;1.000e+00
