time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_InjectedCurrent
53.817647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.827647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.837647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.847647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.857647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.867647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.877647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.887647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.897647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.907647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
