Time (s);P PCC (pu);P lower (pu);P upper (pu)
6.702e-01;-3.377e-02;-9.114e-02;6.868e-02
6.719e-01;-3.342e-02;-9.054e-02;6.837e-02
6.736e-01;-3.306e-02;-8.995e-02;6.806e-02
6.752e-01;-3.271e-02;-8.935e-02;6.775e-02
6.769e-01;-3.235e-02;-8.875e-02;6.744e-02
6.786e-01;-3.200e-02;-8.816e-02;6.714e-02
6.802e-01;-3.166e-02;-8.757e-02;6.684e-02
6.819e-01;-3.131e-02;-8.697e-02;6.654e-02
6.836e-01;-3.097e-02;-8.638e-02;6.624e-02
6.852e-01;-3.062e-02;-8.579e-02;6.595e-02
6.869e-01;-3.028e-02;-8.520e-02;6.566e-02
6.886e-01;-2.995e-02;-8.461e-02;6.537e-02
6.902e-01;-2.961e-02;-8.403e-02;6.508e-02
6.919e-01;-2.927e-02;-8.344e-02;6.479e-02
6.936e-01;-2.894e-02;-8.286e-02;6.451e-02
6.952e-01;-2.861e-02;-8.227e-02;6.423e-02
6.969e-01;-2.828e-02;-8.169e-02;6.395e-02
6.986e-01;-2.796e-02;-8.111e-02;6.368e-02
7.002e-01;-2.763e-02;-8.054e-02;6.340e-02
7.019e-01;-2.731e-02;-7.996e-02;6.313e-02
7.036e-01;-2.699e-02;-7.938e-02;6.286e-02
7.052e-01;-2.667e-02;-7.881e-02;6.260e-02
7.069e-01;-2.635e-02;-7.824e-02;6.233e-02
7.086e-01;-2.604e-02;-7.767e-02;6.207e-02
7.102e-01;-2.573e-02;-7.710e-02;6.181e-02
7.119e-01;-2.542e-02;-7.653e-02;6.155e-02
7.136e-01;-2.511e-02;-7.597e-02;6.129e-02
7.152e-01;-2.480e-02;-7.540e-02;6.104e-02
7.169e-01;-2.450e-02;-7.484e-02;6.079e-02
7.186e-01;-2.419e-02;-7.428e-02;6.054e-02
7.202e-01;-2.389e-02;-7.372e-02;6.029e-02
7.219e-01;-2.359e-02;-7.317e-02;6.004e-02
7.236e-01;-2.330e-02;-7.262e-02;5.980e-02
7.252e-01;-2.300e-02;-7.206e-02;5.956e-02
7.269e-01;-2.271e-02;-7.151e-02;5.932e-02
7.286e-01;-2.242e-02;-7.097e-02;5.908e-02
7.302e-01;-2.213e-02;-7.042e-02;5.884e-02
7.319e-01;-2.185e-02;-6.988e-02;5.861e-02
7.336e-01;-2.156e-02;-6.934e-02;5.838e-02
7.352e-01;-2.128e-02;-6.880e-02;5.814e-02
7.369e-01;-2.100e-02;-6.826e-02;5.792e-02
7.386e-01;-2.072e-02;-6.773e-02;5.769e-02
7.402e-01;-2.045e-02;-6.719e-02;5.746e-02
7.419e-01;-2.017e-02;-6.666e-02;5.724e-02
7.436e-01;-1.990e-02;-6.614e-02;5.702e-02
7.452e-01;-1.963e-02;-6.561e-02;5.680e-02
7.469e-01;-1.936e-02;-6.509e-02;5.658e-02
7.486e-01;-1.910e-02;-6.457e-02;5.636e-02
7.503e-01;-1.883e-02;-6.405e-02;5.615e-02
7.519e-01;-1.857e-02;-6.354e-02;5.594e-02
7.536e-01;-1.831e-02;-6.302e-02;5.573e-02
7.553e-01;-1.805e-02;-6.251e-02;5.552e-02
7.569e-01;-1.780e-02;-6.200e-02;5.531e-02
7.586e-01;-1.755e-02;-6.150e-02;5.510e-02
7.603e-01;-1.729e-02;-6.100e-02;5.490e-02
7.619e-01;-1.704e-02;-6.050e-02;5.470e-02
7.636e-01;-1.680e-02;-6.000e-02;5.449e-02
7.653e-01;-1.655e-02;-5.950e-02;5.429e-02
7.669e-01;-1.631e-02;-5.901e-02;5.410e-02
7.686e-01;-1.607e-02;-5.852e-02;5.390e-02
7.703e-01;-1.583e-02;-5.803e-02;5.371e-02
7.719e-01;-1.559e-02;-5.755e-02;5.351e-02
7.736e-01;-1.535e-02;-5.707e-02;5.332e-02
7.753e-01;-1.512e-02;-5.659e-02;5.313e-02
7.769e-01;-1.489e-02;-5.611e-02;5.294e-02
7.786e-01;-1.466e-02;-5.564e-02;5.276e-02
7.803e-01;-1.443e-02;-5.517e-02;5.257e-02
